  1.5000  ,  0.1542  ,  0.5274  ,  0.4705  ,  0.6291  , -1.7420  , -0.1493  ,  0.4500  ,  0.8838  ,  0.7097  , -1.6256  ,  0.0000  , 100.0000 ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  , 100.0000 ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000
  1.5200  ,  0.1656  ,  0.5415  ,  0.4617  ,  0.6242  , -1.7366  , -0.1489  ,  0.4660  ,  0.8778  ,  0.7053  , -1.6201  ,  0.0000  , 100.0000 ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  , 100.0000 ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  
  1.5400  ,  0.1769  ,  0.5552  ,  0.4610  ,  0.6295  , -1.7277  , -0.1486  ,  0.4818  ,  0.8810  ,  0.7109  , -1.6068  ,  0.0000  , 100.0000 ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  , 100.0000 ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  
  1.5600  ,  0.1900  ,  0.5729  ,  0.4487  ,  0.6368  , -1.7220  , -0.1482  ,  0.5017  ,  0.8894  ,  0.7226  , -1.5909  ,  0.0000  , 100.0000 ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  , 100.0000 ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  
  1.5800  ,  0.1952  ,  0.5803  ,  0.4407  ,  0.6357  , -1.7159  , -0.1478  ,  0.5103  ,  0.8844  ,  0.7200  , -1.5760  ,  0.0000  , 100.0000 ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  , 100.0000 ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  
  1.6000  ,  0.2080  ,  0.5966  ,  0.4338  ,  0.6467  , -1.7088  , -0.1475  ,  0.5306  ,  0.8878  ,  0.7344  , -1.5600  ,  0.0000  , 100.0000 ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  , 100.0000 ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  
  1.6200  ,  0.2137  ,  0.6024  ,  0.4332  ,  0.6513  , -1.7034  , -0.1475  ,  0.5390  ,  0.8902  ,  0.7363  , -1.5524  ,  0.0000  , 100.0000 ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  , 100.0000 ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  
  1.6400  ,  0.2219  ,  0.6105  ,  0.4267  ,  0.6562  , -1.6956  , -0.1469  ,  0.5516  ,  0.8899  ,  0.7420  , -1.5364  ,  0.0000  , 100.0000 ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  , 100.0000 ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  
  1.6600  ,  0.2311  ,  0.6194  ,  0.4279  ,  0.6682  , -1.6922  , -0.1458  ,  0.5656  ,  0.8945  ,  0.7534  , -1.5283  ,  0.0000  , 100.0000 ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  , 100.0000 ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  
  1.6800  ,  0.2378  ,  0.6284  ,  0.4190  ,  0.6718  , -1.6801  , -0.1440  ,  0.5773  ,  0.8951  ,  0.7567  , -1.5074  ,  0.0000  , 100.0000 ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  , 100.0000 ,  0.0000  ,  0.0000  ,  0.0000  ,  0.0000  
