1.0, -0.075,   0.234,  -0.334,   0.257,  -1.548,  -0.112,   0.207,  -0.337,   0.323,  -1.457
1.0, 0.199,   1.185,   0.756,   0.507,  -1.548,   0.186,   1.107,   0.862,   0.771,  -1.471
1.0 ,0.036,   1.109,   1.055,   1.703,  -1.548,   0.098,   1.094,   1.186,   0.599,  -1.471
1.0 ,0.035,   1.085,   1.051,   0.866,  -1.548,   0.210,   1.055,   0.986,   1.881,  -1.471

1.0, 0.958,   0.152,   0.090,   0.718,  -3.084,   0.802,   0.220,   0.051,   1.011,  -2.751
1.0, 0.369,   0.961,  -0.858,   2.152,  -2.244,   0.326,   0.858,  -0.821,   2.180,  -2.182
1.0, -0.060,   0.197,  -0.110,   0.159,  -1.635,  -0.097,   0.184,  -0.460,   0.212,  -1.262
1.0, 0.369,   0.961,  -0.858,   2.152,  -2.244,   0.326,   0.858,  -0.821,   2.180,  -2.182
1.0, 0.958,   0.152,   0.090,   0.718,  -3.084,   0.802,   0.220,   0.051,   1.011,  -2.751
1.0, 0.369,   0.961,  -0.858,   2.152,  -2.244,   0.326,   0.858,  -0.821,   2.180,  -2.182
1.0, -0.060,   0.197,  -0.110,   0.159,  -1.635,  -0.097,   0.184,  -0.460,   0.212,  -1.262

1.0, 2.043,   0.496,   0.089,   0.533,  -1.746,  -0.001,   0.107,  -0.000,   0.192,  -1.686
1.0, 1.978,   0.496,   0.090,   0.618,  -1.746,   1.895,   0.432,   0.039,   0.861,  -1.685
1.0, 0.873,   0.632,   0.415,   2.002,  -1.746,   0.885,   0.645,   0.263,   1.984,  -1.685
1.0, 0.535,   0.804,  -0.888,   1.941,  -1.785,   0.598,   0.734,  -0.886,   1.920,  -1.884
1.0  , -0.1396  ,  0.1  ,  0.0524  ,  0.6981  , -1.2217  , -0.1396  ,  0.1  ,  0.0524  ,  0.6981  , -1.2217

1.0, 0.535,   0.804,  -0.888,   1.941,  -1.785,   0.598,   0.734,  -0.886,   1.920,  -1.884
1.0,-0.002,   1.399,   0.076,   0.894,  -1.737,  -0.009,   1.393,   0.114,   1.008,  -1.698
1.0,0.435,   1.377,  -0.474,   2.261,  -1.737,   0.632,   1.282,  -0.649,   2.342,  -1.698
1.0,-0.002,   1.399,   0.076,   0.894,  -1.737,  -0.009,   1.393,   0.114,   1.008,  -1.698
1.0,0.435,   1.377,  -0.474,   2.261,  -1.737,   0.632,   1.282,  -0.649,   2.342,  -1.698
1.0,-0.002,   1.399,   0.076,   0.894,  -1.737,  -0.009,   1.393,   0.114,   1.008,  -1.698
1.0,0.435,   1.377,  -0.474,   2.261,  -1.737,   0.632,   1.282,  -0.649,   2.342,  -1.698
1.0  , -0.1396  ,  0.1  ,  0.0524  ,  0.6981  , -1.2217  , -0.1396  ,  0.1  ,  0.0524  ,  0.6981  , -1.2217

1.0,1.247,   0.278,  -1.306,   0.077,  -1.698,  -0.075,   0.184,  -0.323,   0.149,  -1.272
1.0, -0.115,   0.119,  -0.060,   0.119,  -1.363,   1.271,   0.434,  -1.208,   0.572,  -1.497
1.0,1.247,   0.278,  -1.306,   0.077,  -1.698,  -0.075,   0.184,  -0.323,   0.149,  -1.272
1.0, -0.115,   0.119,  -0.060,   0.119,  -1.363,   1.271,   0.434,  -1.208,   0.572,  -1.497
1.0,1.247,   0.278,  -1.306,   0.077,  -1.698,  -0.075,   0.184,  -0.323,   0.149,  -1.272
1.0, -0.115,   0.119,  -0.060,   0.119,  -1.363,   1.271,   0.434,  -1.208,   0.572,  -1.497
1.0  , -0.1396  ,  0.1  ,  0.0524  ,  0.6981  , -1.2217  , -0.1396  ,  0.1  ,  0.0524  ,  0.6981  , -1.2217

1.0,0.243,   1.372,   0.949,   1.642,  -1.688,   0.249,   1.487,  -1.652,   1.209,  -1.900
1.0,-0.085,   1.372,  -1.355,   1.104,  -1.688,   0.355,   1.393,   0.909,   1.696,  -1.900
1.0,0.243,   1.372,   0.949,   1.642,  -1.688,   0.249,   1.487,  -1.652,   1.209,  -1.900
1.0,-0.085,   1.372,  -1.355,   1.104,  -1.688,   0.355,   1.393,   0.909,   1.696,  -1.900

1.0, 0.431,   0.201,   0.190,   2.326,  -1.897,   0.349,   0.296,   0.163,   2.340,  -1.750
1.0,1.945,   0.671,  -0.085,   0.868,  -1.509,   0.592,   0.383,   0.276,   2.180,  -1.750
1.0, 0.431,   0.201,   0.190,   2.326,  -1.897,   0.349,   0.296,   0.163,   2.340,  -1.750
1.0,0.409,   0.228,   0.226,   2.264,  -1.524,   1.844,   0.887,  -0.188,   0.985,  -1.750
1.0, 0.431,   0.201,   0.190,   2.326,  -1.897,   0.349,   0.296,   0.163,   2.340,  -1.750

1.0, 1.908,   0.684,  -0.285,   0.882,  -1.538,   1.969,   0.757,  -0.447,   0.911,  -1.750
1.0, 0.431,   0.201,   0.190,   2.326,  -1.897,   0.349,   0.296,   0.163,   2.340,  -1.750
1.0, 1.908,   0.684,  -0.285,   0.882,  -1.538,   1.969,   0.757,  -0.447,   0.911,  -1.750
1.0, 0.431,   0.201,   0.190,   2.326,  -1.897,   0.349,   0.296,   0.163,   2.340,  -1.750
1.0  , -0.1396  ,  0.1  ,  0.0524  ,  0.6981  , -1.2217  , -0.1396  ,  0.1  ,  0.0524  ,  0.6981  , -1.2217


