1.5, 0.149,   0.029,  -0.650,   1.884,  -2.813,   0.184,   0.089,  -0.682,   1.521,   0.023
0.4, 0.249,   0.027,  -0.687,   1.625,  -2.802,   0.256,   0.079,  -0.656,   1.564,   0.123
0.4, 0.149,   0.029,  -0.650,   1.884,  -2.813,   0.184,   0.089,  -0.682,   1.521,   0.023
0.4, 0.249,   0.027,  -0.687,   1.625,  -2.802,   0.256,   0.079,  -0.656,   1.564,   0.123
0.4, 0.149,   0.029,  -0.650,   1.884,  -2.813,   0.184,   0.089,  -0.682,   1.521,   0.023
0.4, 0.249,   0.027,  -0.687,   1.625,  -2.802,   0.256,   0.079,  -0.656,   1.564,   0.123
0.4, 0.149,   0.029,  -0.650,   1.884,  -2.813,   0.184,   0.089,  -0.682,   1.521,   0.023
0.4, 0.249,   0.027,  -0.687,   1.625,  -2.802,   0.256,   0.079,  -0.656,   1.564,   0.123
0.4, 0.149,   0.029,  -0.650,   1.884,  -2.813,   0.184,   0.089,  -0.682,   1.521,   0.023
0.4, 0.249,   0.027,  -0.687,   1.625,  -2.802,   0.256,   0.079,  -0.656,   1.564,   0.123
1.0, 0.249,   0.027,  -0.687,   1.625,  -2.802,   0.256,   0.079,  -0.656,   1.564,   0.123
1.5, 0.149,   0.500,  -0.650,   1.884,  -2.813,   0.184,   0.500,  -0.682,   1.521,   0.023
2.0  , -0.1396  ,  0.0873  ,  0.0524  ,  0.6981  , -1.2217  , -0.1396  ,  0.0873  ,  0.0524  ,  0.6981  , -1.2217
